file	filename	index	tank	plate	Project	column	row	line	diet	filename3	vast	filename5	Exp	date	well	overfeeding	cholesterol	glucose	VAST	Imaged	age	length	dorsal_area	lateral_area	tod	mc4r_nwt	mc4r_dich	qRNA	gene	bodyfat	pomca_nwt	pomca_dich	negr1_nwt	negr1_dich	irs1_nwt	irs1_dich	irs2a_nwt	irs2b_nwt	irs2_nwt	irs2_dich	batch	flag	new_flag	newpooled_tank	intlength	intdorsal_area	intlateral_area
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_A03	UB017	1	plate01	CD15	3	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	A03	1	0	0	2	1	11	4867.9316	1433812.3	1985181.9	1.8333334				NEGR1	0											5			50	1.3989575	.97855312	1.9986784
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_A09	UB129	1	plate02	CD15	9	A	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	A09	1	0	0	2	1	11	5057.6191	1740720.3	1965502.9	8.583333			2	NEGR1	0			1	1							5			50	1.9273027	1.4271836	1.8645774
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_A07	UB049	1	plate01	CD15	7	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	A07	1	0	0	2	1	11	2623.8586	524483.06	685234.38	4.6500001			1	NEGR1	0			.038193487	0							5			50	-1.9986784	-2.3125591	-1.9273027
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_A08	UB121	1	plate02	CD15	8	A	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	A08	1	0	0	2	1	11								NEGR1	0											5			50			
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_F03	UB022	1	plate01	CD15	3	F	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	F03	1	0	0	2	1	11	4227.1055	1181873.8	1568185.4	2.0666666				NEGR1	1											5			50	.20954233	.40612969	.27380776
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_F01	UB070	1	plate02	CD15	1	F	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	F01	1	0	0	2	1	11								NEGR1	0											5			50			
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_F03	UB086	1	plate02	CD15	3	F	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	F03	1	0	0	2	1	11	4174.8203	1082880.9	1439016.1	7			2	NEGR1	0			1	1							5			50	.041615799	0	-.13562697
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_A07	UB113	1	plate02	CD15	7	A	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	A07	1	0	0	2	1	11								NEGR1	0											5			50			
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_A05	UB097	1	plate02	CD15	5	A	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	A05	1	0	0	2	1	11	4580.8711	1193118.9	1589509.3	7.5			2					1	1							5			50	.83718318	.42882609	.38364065
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_A06	UB041	1	plate01	CD15	6	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	A06	1	0	0	2	1	11	2772.1643	912230.25	804354.88	4.3833332			2					1	1							5			50	-1.7574674	-.65825629	-1.8084311
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_G08	UB063	1	plate01	CD15	8	G	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	G08	1	0	0	2	1	11	2562.8542	737661.75	764010	5.0833335			2					1	1							5			50	-2.0819788	-1.4271836	-1.8645774
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_A02	UB073	1	plate02	CD15	2	A	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	A02	1	0	0	2	1	11	4618.2441	1333144.5	1751965.4	6.5999999			1	NEGR1	1			0	0							5			50	.91346914	.80800599	1.0302247
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_F04	UB030	1	plate01	CD15	4	F	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	F04	1	0	0	2	1	11	4059.8628	1043612.7	1486508.8	2.5833333																5			50	-.14613169	-.16719081	-.041615799
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_F01	UB006	1	plate01	CD15	1	F	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	F01	1	0	0	2	1	11	4371.5439	1263759.8	1617442.6	1.4666667				NEGR1	0											5			50	.44025692	.65825629	.54600537
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_A06	UB105	1	plate02	CD15	6	A	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	A06	1	0	0	2	1	11	4756.0942	1524820	1743890.4	7.9499998				NEGR1	1											5			50	1.2049677	1.16304	.99548161
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_F05	UB102	1	plate02	CD15	5	F	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	F05	1	0	0	2	1	11								NEGR1	0											5			50			
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_A01	UB065	1	plate02	CD15	1	A	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	A01	1	0	0	2	1	11	4005.9119	1044240.8	1467786.9	6.1666665			1					0	0							5			50	-.23085508	-.15665257	-.072871074
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_A01	UB001	1	plate01	CD15	1	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	A01	1	0	0	2	1	11								NEGR1	0											5			50			
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_F06	UB046	1	plate01	CD15	6	F	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	F06	1	0	0	2	1	11	4970.0942	1805768.4	1829634.4	4.5500002			2	NEGR1	0			.96505594	1							5			50	1.7574674	1.5891205	1.3203386
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_A05	UB033	1	plate01	CD15	5	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	A05	1	0	0	2	1	11	4681.8345	1411351.9	1885441.3	2.9833333				NEGR1	1											5			50	1.0848044	.96190053	1.4565949
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_F07	UB118	1	plate02	CD15	7	F	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	F07	1	0	0	2	1	11								NEGR1	0											5			50			
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_A04	UB025	1	plate01	CD15	4	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	A04	1	0	0	2	1	11								NEGR1	0											5			50			
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_A03	UB081	1	plate02	CD15	3	A	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	A03	1	0	0	2	1	11	4521.0947	1245486.5	1584185.8	6.8499999			2	NEGR1	0			1	1							5			50	.77950102	.59496444	.35026333
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_A04	UB089	1	plate02	CD15	4	A	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	A04	1	0	0	2	1	11							2	NEGR1	0			1	1							5			50			
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_A02	UB009	1	plate01	CD15	2	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	A02	1	0	0	2	1	11	4372.5918	1127951	1661645.5	1.5666667				NEGR1	0											5			50	.46329418	.13562697	.7378906
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_F07	UB054	1	plate01	CD15	7	F	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	F07	1	0	0	2	1	11	4733.0552	1460130.6	1692330.4	4.8000002			2	NEGR1	0			1	1							5			50	1.16304	1.066258	.86709106
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_B07	UB114	2	plate02	CD15	7	B	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	B07	1	0	0	2	1	11	4521.0425	1237082.5	1594802.9	8.1999998			2	NEGR1	1			1	1							5			51	.76548398	.54600537	.42882609
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_B05	UB098	2	plate02	CD15	5	B	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	B05	1	0	0	2	1	11	4070.4604	1126037	1647200.4	7.5333333			2	NEGR1	0			1	1							5			51	-.11466117	.12513719	.67122895
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_G06	UB047	2	plate01	CD15	6	G	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	G06	1	0	0	2	1	11	4176.8901	1157798.5	1527840.6	4.5833335				NEGR1	1											5			51	.052028198	.30635273	.093745656
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_B06	UB042	2	plate01	CD15	6	B	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	B06	1	0	0	2	1	11	4656.6045	1257150.3	1684674.1	4.4166665																5			51	1.0127003	.63263667	.82250702
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_NEGR1_230306_G03	UB023	2	plate01	CD15	3	G	InsH2Bfabp	CD15	11dpf	VAST02	plate01	NEGR1	230306	G03	1	0	0	2	1	11								NEGR1	0											5			51			
NEGR1	InsH2Bfabp_CD15_11dpf_VAST02_plate02_NEGR1_230306_B01	UB066	2	plate02	CD15	1	B	InsH2Bfabp	CD15	11dpf	VAST02	plate02	NEGR1	230306	B01	1	0	0	2	1	11	3736.925	942675.75	1313316	6.3666668				NEGR1	0											5			51	-.61998188	-.52201521	-.54600537
